support,itemsets
0.8979591836734694,intl_domestic
0.6987736798755376,device_dev_mobile
0.6458314267411001,acct_age_acct_OLD
0.6294499862725359,amt_deviation_dev_MOD
0.5037064153015466,channel_ch_card
0.496110551844056,amt_amt_MED
0.4197858515603551,ip_risk_ip_MOD
0.38006772215612705,geo_dist_geo_MOD
0.33183856502242154,kyc_kyc_2
0.3136267960098838,fraud_FRAUD
0.3027363411732406,velocity_24h_vel24h_LOW
0.2806351240047589,merch_risk_mrisk_LOW
0.2739544248192551,velocity_1h_vel1h_MOD
0.2033952594490711,credit_band_credit_3
0.6863732039901163,fraud_legit
0.6413928800219639,failed_txns_fail_NONE
0.3371465177999451,kyc_kyc_1
0.3320215978768189,velocity_24h_vel24h_MOD
0.2859430767822824,geo_dist_geo_FAR
0.1983618559531436,credit_band_credit_5
0.14660931637228883,channel_ch_wallet
0.37398187974741465,merch_risk_mrisk_MOD
0.336597419236753,ip_risk_ip_LOW
0.33042006040084193,velocity_1h_vel1h_ZERO
0.27065983344010247,geo_dist_geo_NEAR
0.2509380433787865,device_dev_desktop
0.1957993959915805,velocity_24h_vel24h_HIGH
0.3620389859979866,velocity_1h_vel1h_LOW
0.24951953875720692,channel_ch_upi
0.2211036881120161,amt_amt_LOW
0.20174796375949483,credit_band_credit_4
0.16944266495836002,velocity_24h_vel24h_VHIGH
0.12478264848540313,amt_deviation_dev_NORMAL
0.10204081632653061,intl_international
0.10016472956895763,channel_ch_bank_transfer
0.27386290839205635,failed_txns_fail_LOW
0.07069644001098196,merch_risk_mrisk_VHIGH
0.1872426100485037,acct_age_acct_1YR
0.24306763063969983,amt_amt_HIGH
0.1992770202251304,ip_risk_ip_HIGH
0.19753820810835546,credit_band_credit_1
0.19621121991397455,amt_deviation_dev_HIGH
0.33101491717763337,kyc_kyc_3
0.2746865562368445,merch_risk_mrisk_HIGH
0.19895671272993504,credit_band_credit_2
0.05028827674567585,device_dev_tablet
0.07454012995332662,acct_age_acct_NEW
0.049556145328086394,amt_deviation_dev_EXTREME
0.03971812940422806,amt_amt_VHIGH
0.09238583325706964,acct_age_acct_6MO
0.04433970897776151,ip_risk_ip_VHIGH
0.06332936762148805,geo_dist_geo_VFAR
0.033586528781916355,velocity_1h_vel1h_HIGH
0.06918641896220372,failed_txns_fail_MOD
0.6266129770293768,"device_dev_mobile, intl_domestic"
0.5808547634300357,"acct_age_acct_OLD, intl_domestic"
0.45181660107989385,"acct_age_acct_OLD, device_dev_mobile"
0.4426649583600256,"acct_age_acct_OLD, fraud_legit"
0.40592111283975474,"acct_age_acct_OLD, device_dev_mobile, intl_domestic"
0.41182392239406973,"acct_age_acct_OLD, fraud_legit, intl_domestic"
0.3085476343003569,"acct_age_acct_OLD, device_dev_mobile, fraud_legit"
0.5652512125926604,"amt_deviation_dev_MOD, intl_domestic"
0.43969067447606847,"amt_deviation_dev_MOD, device_dev_mobile"
0.40747689210213234,"acct_age_acct_OLD, amt_deviation_dev_MOD"
0.4422988926512309,"amt_deviation_dev_MOD, fraud_legit"
0.4057838381989567,"amt_deviation_dev_MOD, failed_txns_fail_NONE"
0.39379518623592935,"amt_deviation_dev_MOD, device_dev_mobile, intl_domestic"
0.3084103596595589,"amt_deviation_dev_MOD, device_dev_mobile, fraud_legit"
0.36684359842591746,"acct_age_acct_OLD, amt_deviation_dev_MOD, intl_domestic"
0.28543973643268966,"acct_age_acct_OLD, amt_deviation_dev_MOD, device_dev_mobile"
0.2864006589182758,"acct_age_acct_OLD, amt_deviation_dev_MOD, fraud_legit"
0.4087581220829139,"amt_deviation_dev_MOD, fraud_legit, intl_domestic"
0.3665690491443214,"amt_deviation_dev_MOD, failed_txns_fail_NONE, intl_domestic"
0.3102864464171319,"amt_deviation_dev_MOD, failed_txns_fail_NONE, fraud_legit"
0.2828315182575272,"amt_deviation_dev_MOD, device_dev_mobile, failed_txns_fail_NONE"
0.26365882675940333,"acct_age_acct_OLD, amt_deviation_dev_MOD, failed_txns_fail_NONE"
0.45277752356548,"channel_ch_card, intl_domestic"
0.3539855404045026,"channel_ch_card, device_dev_mobile"
0.3257069644001098,"acct_age_acct_OLD, channel_ch_card"
0.3165553216802416,"amt_deviation_dev_MOD, channel_ch_card"
0.34579482017022056,"channel_ch_card, fraud_legit"
0.32520362405051706,"channel_ch_card, failed_txns_fail_NONE"
0.3171959366706324,"channel_ch_card, device_dev_mobile, intl_domestic"
0.2927152923949849,"acct_age_acct_OLD, channel_ch_card, intl_domestic"
0.22888258442390408,"acct_age_acct_OLD, channel_ch_card, device_dev_mobile"
0.22325432415118512,"acct_age_acct_OLD, channel_ch_card, fraud_legit"
0.28429578109270615,"amt_deviation_dev_MOD, channel_ch_card, intl_domestic"
0.22238491809279765,"amt_deviation_dev_MOD, channel_ch_card, device_dev_mobile"
0.20527134620664408,"acct_age_acct_OLD, amt_deviation_dev_MOD, channel_ch_card"
0.22201885238400293,"amt_deviation_dev_MOD, channel_ch_card, fraud_legit"
0.20476800585705135,"amt_deviation_dev_MOD, channel_ch_card, failed_txns_fail_NONE"
0.31980415484579483,"channel_ch_card, fraud_legit, intl_domestic"
0.24155760959092157,"channel_ch_card, device_dev_mobile, fraud_legit"
0.2942710716573625,"channel_ch_card, failed_txns_fail_NONE, intl_domestic"
0.24384552027088863,"channel_ch_card, failed_txns_fail_NONE, fraud_legit"
0.2275555962295232,"channel_ch_card, device_dev_mobile, failed_txns_fail_NONE"
0.21099112290656172,"acct_age_acct_OLD, channel_ch_card, failed_txns_fail_NONE"
0.49592751898965864,"amt_amt_MED, amt_deviation_dev_MOD"
0.44724077971995974,"amt_amt_MED, intl_domestic"
0.34510844696623044,"amt_amt_MED, device_dev_mobile"
0.3222750983801592,"acct_age_acct_OLD, amt_amt_MED"
0.24823830877642536,"amt_amt_MED, channel_ch_card"
0.3498673011805619,"amt_amt_MED, fraud_legit"
0.32007870412739087,"amt_amt_MED, failed_txns_fail_NONE"
0.4470577468655624,"amt_amt_MED, amt_deviation_dev_MOD, intl_domestic"
0.3450626887526311,"amt_amt_MED, amt_deviation_dev_MOD, device_dev_mobile"
0.31037796284433056,"amt_amt_MED, device_dev_mobile, intl_domestic"
0.24270156493090508,"amt_amt_MED, device_dev_mobile, fraud_legit"
0.32213782373936123,"acct_age_acct_OLD, amt_amt_MED, amt_deviation_dev_MOD"
0.29134254598700465,"acct_age_acct_OLD, amt_amt_MED, intl_domestic"
0.22503889448155945,"acct_age_acct_OLD, amt_amt_MED, device_dev_mobile"
0.22728104694792714,"acct_age_acct_OLD, amt_amt_MED, fraud_legit"
0.24814679234922668,"amt_amt_MED, amt_deviation_dev_MOD, channel_ch_card"
0.22394069735517524,"amt_amt_MED, channel_ch_card, intl_domestic"
0.17314908025990666,"amt_amt_MED, channel_ch_card, device_dev_mobile"
0.16120618651047863,"acct_age_acct_OLD, amt_amt_MED, channel_ch_card"
0.17433879381348952,"amt_amt_MED, channel_ch_card, fraud_legit"
0.16029102223849181,"amt_amt_MED, channel_ch_card, failed_txns_fail_NONE"
0.34968426832616456,"amt_amt_MED, amt_deviation_dev_MOD, fraud_legit"
0.3238308776425368,"amt_amt_MED, fraud_legit, intl_domestic"
0.3199414294865928,"amt_amt_MED, amt_deviation_dev_MOD, failed_txns_fail_NONE"
0.2907934474238126,"amt_amt_MED, failed_txns_fail_NONE, intl_domestic"
0.24590463988285896,"amt_amt_MED, failed_txns_fail_NONE, fraud_legit"
0.2223391598791983,"amt_amt_MED, device_dev_mobile, failed_txns_fail_NONE"
0.20952686007138283,"acct_age_acct_OLD, amt_amt_MED, failed_txns_fail_NONE"
0.37512583508739816,"intl_domestic, ip_risk_ip_MOD"
0.29436258808456117,"device_dev_mobile, ip_risk_ip_MOD"
0.2720325798480827,"acct_age_acct_OLD, ip_risk_ip_MOD"
0.26503157316738357,"amt_deviation_dev_MOD, ip_risk_ip_MOD"
0.2108538482657637,"channel_ch_card, ip_risk_ip_MOD"
0.2098471675665782,"amt_amt_MED, ip_risk_ip_MOD"
0.2868124828406699,"fraud_legit, ip_risk_ip_MOD"
0.2692413288185229,"failed_txns_fail_NONE, ip_risk_ip_MOD"
0.2627436624874165,"device_dev_mobile, intl_domestic, ip_risk_ip_MOD"
0.2439370366980873,"acct_age_acct_OLD, intl_domestic, ip_risk_ip_MOD"
0.19017113571886154,"acct_age_acct_OLD, device_dev_mobile, ip_risk_ip_MOD"
0.1862359293493182,"acct_age_acct_OLD, fraud_legit, ip_risk_ip_MOD"
0.2373478539397822,"amt_deviation_dev_MOD, intl_domestic, ip_risk_ip_MOD"
0.1852292486501327,"amt_deviation_dev_MOD, device_dev_mobile, ip_risk_ip_MOD"
0.17113571886153564,"acct_age_acct_OLD, amt_deviation_dev_MOD, ip_risk_ip_MOD"
0.1832158872517617,"amt_deviation_dev_MOD, fraud_legit, ip_risk_ip_MOD"
0.1706323785119429,"amt_deviation_dev_MOD, failed_txns_fail_NONE, ip_risk_ip_MOD"
0.18866111467008329,"channel_ch_card, intl_domestic, ip_risk_ip_MOD"
0.14789054635307036,"channel_ch_card, device_dev_mobile, ip_risk_ip_MOD"
0.13736615722522194,"acct_age_acct_OLD, channel_ch_card, ip_risk_ip_MOD"
0.13274457765168848,"amt_deviation_dev_MOD, channel_ch_card, ip_risk_ip_MOD"
0.14404685641072573,"channel_ch_card, fraud_legit, ip_risk_ip_MOD"
0.13608492724444038,"channel_ch_card, failed_txns_fail_NONE, ip_risk_ip_MOD"
0.20980140935297886,"amt_amt_MED, amt_deviation_dev_MOD, ip_risk_ip_MOD"
0.18838656538848722,"amt_amt_MED, intl_domestic, ip_risk_ip_MOD"
0.1459229431682987,"amt_amt_MED, device_dev_mobile, ip_risk_ip_MOD"
0.1352155211860529,"acct_age_acct_OLD, amt_amt_MED, ip_risk_ip_MOD"
0.10469479271529239,"amt_amt_MED, channel_ch_card, ip_risk_ip_MOD"
0.145556877459504,"amt_amt_MED, fraud_legit, ip_risk_ip_MOD"
0.13471218083646014,"amt_amt_MED, failed_txns_fail_NONE, ip_risk_ip_MOD"
0.2653976388761783,"fraud_legit, intl_domestic, ip_risk_ip_MOD"
0.2021597876818889,"device_dev_mobile, fraud_legit, ip_risk_ip_MOD"
0.24155760959092157,"failed_txns_fail_NONE, intl_domestic, ip_risk_ip_MOD"
0.200832799487508,"failed_txns_fail_NONE, fraud_legit, ip_risk_ip_MOD"
0.18943900430127208,"device_dev_mobile, failed_txns_fail_NONE, ip_risk_ip_MOD"
0.1754369909398737,"acct_age_acct_OLD, failed_txns_fail_NONE, ip_risk_ip_MOD"
0.3420426466550746,"geo_dist_geo_MOD, intl_domestic"
0.26393337604099937,"device_dev_mobile, geo_dist_geo_MOD"
0.24530978310606755,"acct_age_acct_OLD, geo_dist_geo_MOD"
0.24297611421250115,"amt_deviation_dev_MOD, geo_dist_geo_MOD"
0.1916811567676398,"amt_amt_MED, geo_dist_geo_MOD"
0.19108629999084836,"channel_ch_card, geo_dist_geo_MOD"
0.1598334401024984,"geo_dist_geo_MOD, ip_risk_ip_MOD"
0.2599066532442573,"fraud_legit, geo_dist_geo_MOD"
0.24320490528049785,"failed_txns_fail_NONE, geo_dist_geo_MOD"
0.23739361215338153,"device_dev_mobile, geo_dist_geo_MOD, intl_domestic"
0.22169854488880755,"acct_age_acct_OLD, geo_dist_geo_MOD, intl_domestic"
0.17017479637594948,"acct_age_acct_OLD, device_dev_mobile, geo_dist_geo_MOD"
0.16646838107440284,"acct_age_acct_OLD, fraud_legit, geo_dist_geo_MOD"
0.21890729385924773,"amt_deviation_dev_MOD, geo_dist_geo_MOD, intl_domestic"
0.16967145602635672,"amt_deviation_dev_MOD, device_dev_mobile, geo_dist_geo_MOD"
0.15740825478173331,"acct_age_acct_OLD, amt_deviation_dev_MOD, geo_dist_geo_MOD"
0.17044934565754552,"amt_deviation_dev_MOD, fraud_legit, geo_dist_geo_MOD"
0.15777432049052806,"amt_deviation_dev_MOD, failed_txns_fail_NONE, geo_dist_geo_MOD"
0.19163539855404044,"amt_amt_MED, amt_deviation_dev_MOD, geo_dist_geo_MOD"
0.1734236295415027,"amt_amt_MED, geo_dist_geo_MOD, intl_domestic"
0.133888532991672,"amt_amt_MED, device_dev_mobile, geo_dist_geo_MOD"
0.12519447240779719,"acct_age_acct_OLD, amt_amt_MED, geo_dist_geo_MOD"
0.13512400475885422,"amt_amt_MED, fraud_legit, geo_dist_geo_MOD"
0.1244165827766084,"amt_amt_MED, failed_txns_fail_NONE, geo_dist_geo_MOD"
0.17250846526951588,"channel_ch_card, geo_dist_geo_MOD, intl_domestic"
0.1342088404868674,"channel_ch_card, device_dev_mobile, geo_dist_geo_MOD"
0.12359293493182026,"acct_age_acct_OLD, channel_ch_card, geo_dist_geo_MOD"
0.1213965406790519,"amt_deviation_dev_MOD, channel_ch_card, geo_dist_geo_MOD"
0.09526860071382813,"amt_amt_MED, channel_ch_card, geo_dist_geo_MOD"
0.13228699551569506,"channel_ch_card, fraud_legit, geo_dist_geo_MOD"
0.12373020957261828,"channel_ch_card, failed_txns_fail_NONE, geo_dist_geo_MOD"
0.14349775784753363,"geo_dist_geo_MOD, intl_domestic, ip_risk_ip_MOD"
0.11146700832799487,"device_dev_mobile, geo_dist_geo_MOD, ip_risk_ip_MOD"
0.10377962844330557,"acct_age_acct_OLD, geo_dist_geo_MOD, ip_risk_ip_MOD"
0.10277294774412007,"amt_deviation_dev_MOD, geo_dist_geo_MOD, ip_risk_ip_MOD"
0.08126658735242977,"amt_amt_MED, geo_dist_geo_MOD, ip_risk_ip_MOD"
0.07957353344925414,"channel_ch_card, geo_dist_geo_MOD, ip_risk_ip_MOD"
0.10121716848174248,"failed_txns_fail_NONE, geo_dist_geo_MOD, ip_risk_ip_MOD"
0.1080351423080443,"fraud_legit, geo_dist_geo_MOD, ip_risk_ip_MOD"
0.24128306030932553,"fraud_legit, geo_dist_geo_MOD, intl_domestic"
0.18051615264940057,"device_dev_mobile, fraud_legit, geo_dist_geo_MOD"
0.21968518349043653,"failed_txns_fail_NONE, geo_dist_geo_MOD, intl_domestic"
0.18152283334858607,"failed_txns_fail_NONE, fraud_legit, geo_dist_geo_MOD"
0.1681614349775785,"device_dev_mobile, failed_txns_fail_NONE, geo_dist_geo_MOD"
0.15818614441292211,"acct_age_acct_OLD, failed_txns_fail_NONE, geo_dist_geo_MOD"
0.29715383911412097,"intl_domestic, kyc_kyc_2"
0.23185686830786126,"device_dev_mobile, kyc_kyc_2"
0.21442298892651232,"acct_age_acct_OLD, kyc_kyc_2"
0.20742198224581312,"amt_deviation_dev_MOD, kyc_kyc_2"
0.16884780818156858,"channel_ch_card, kyc_kyc_2"
0.1637228882584424,"amt_amt_MED, kyc_kyc_2"
0.14029468289557975,"ip_risk_ip_MOD, kyc_kyc_2"
0.12473689027180379,"geo_dist_geo_MOD, kyc_kyc_2"
0.21250114395533998,"failed_txns_fail_NONE, kyc_kyc_2"
0.22531344376315549,"fraud_legit, kyc_kyc_2"
0.12157957353344925,"kyc_kyc_2, velocity_1h_vel1h_LOW"
0.10867575729843507,"kyc_kyc_2, velocity_24h_vel24h_MOD"
0.11197034867758762,"ip_risk_ip_LOW, kyc_kyc_2"
0.1264299441749794,"kyc_kyc_2, merch_risk_mrisk_MOD"
0.20701015832341904,"device_dev_mobile, intl_domestic, kyc_kyc_2"
0.19282511210762332,"acct_age_acct_OLD, intl_domestic, kyc_kyc_2"
0.14930905097464994,"acct_age_acct_OLD, device_dev_mobile, kyc_kyc_2"
0.14564839388670267,"acct_age_acct_OLD, fraud_legit, kyc_kyc_2"
0.18619017113571887,"amt_deviation_dev_MOD, intl_domestic, kyc_kyc_2"
0.14372654891553033,"amt_deviation_dev_MOD, device_dev_mobile, kyc_kyc_2"
0.13484945547725816,"acct_age_acct_OLD, amt_deviation_dev_MOD, kyc_kyc_2"
0.14404685641072573,"amt_deviation_dev_MOD, fraud_legit, kyc_kyc_2"
0.13320215978768188,"amt_deviation_dev_MOD, failed_txns_fail_NONE, kyc_kyc_2"
0.151596961654617,"channel_ch_card, intl_domestic, kyc_kyc_2"
0.11718678502791251,"channel_ch_card, device_dev_mobile, kyc_kyc_2"
0.10931637228882585,"acct_age_acct_OLD, channel_ch_card, kyc_kyc_2"
0.10560995698727922,"amt_deviation_dev_MOD, channel_ch_card, kyc_kyc_2"
0.10954516335682254,"channel_ch_card, failed_txns_fail_NONE, kyc_kyc_2"
0.11599707147432964,"channel_ch_card, fraud_legit, kyc_kyc_2"
0.1636313718312437,"amt_amt_MED, amt_deviation_dev_MOD, kyc_kyc_2"
0.14720417314908027,"amt_amt_MED, intl_domestic, kyc_kyc_2"
0.11306854580397181,"amt_amt_MED, device_dev_mobile, kyc_kyc_2"
0.10625057197766999,"acct_age_acct_OLD, amt_amt_MED, kyc_kyc_2"
0.08323419053720142,"amt_amt_MED, channel_ch_card, kyc_kyc_2"
0.1137091607943626,"amt_amt_MED, fraud_legit, kyc_kyc_2"
0.10556419877367988,"amt_amt_MED, failed_txns_fail_NONE, kyc_kyc_2"
0.12473689027180379,"intl_domestic, ip_risk_ip_MOD, kyc_kyc_2"
0.09947835636496752,"device_dev_mobile, ip_risk_ip_MOD, kyc_kyc_2"
0.0913333943442848,"acct_age_acct_OLD, ip_risk_ip_MOD, kyc_kyc_2"
0.0877642536835362,"amt_deviation_dev_MOD, ip_risk_ip_MOD, kyc_kyc_2"
0.07142857142857142,"channel_ch_card, ip_risk_ip_MOD, kyc_kyc_2"
0.07019309966138922,"amt_amt_MED, ip_risk_ip_MOD, kyc_kyc_2"
0.08918275830511577,"failed_txns_fail_NONE, ip_risk_ip_MOD, kyc_kyc_2"
0.09536011714102681,"fraud_legit, ip_risk_ip_MOD, kyc_kyc_2"
0.11178731582319026,"geo_dist_geo_MOD, intl_domestic, kyc_kyc_2"
0.08639150727555596,"device_dev_mobile, geo_dist_geo_MOD, kyc_kyc_2"
0.07993959915804887,"acct_age_acct_OLD, geo_dist_geo_MOD, kyc_kyc_2"
0.07879564381806534,"amt_deviation_dev_MOD, geo_dist_geo_MOD, kyc_kyc_2"
0.06337512583508739,"channel_ch_card, geo_dist_geo_MOD, kyc_kyc_2"
0.06268875263109729,"amt_amt_MED, geo_dist_geo_MOD, kyc_kyc_2"
0.052347396357646195,"geo_dist_geo_MOD, ip_risk_ip_MOD, kyc_kyc_2"
0.08025990665324426,"failed_txns_fail_NONE, geo_dist_geo_MOD, kyc_kyc_2"
0.08424087123638693,"fraud_legit, geo_dist_geo_MOD, kyc_kyc_2"
0.04713096000732132,"geo_dist_geo_MOD, kyc_kyc_2, merch_risk_mrisk_MOD"
0.14798206278026907,"device_dev_mobile, failed_txns_fail_NONE, kyc_kyc_2"
0.13745767365242062,"acct_age_acct_OLD, failed_txns_fail_NONE, kyc_kyc_2"
0.19319117781641804,"failed_txns_fail_NONE, intl_domestic, kyc_kyc_2"
0.15850645190811752,"failed_txns_fail_NONE, fraud_legit, kyc_kyc_2"
0.20902351972179006,"fraud_legit, intl_domestic, kyc_kyc_2"
0.15676763979134253,"device_dev_mobile, fraud_legit, kyc_kyc_2"
0.10867575729843507,"intl_domestic, kyc_kyc_2, velocity_1h_vel1h_LOW"
0.08433238766358561,"device_dev_mobile, kyc_kyc_2, velocity_1h_vel1h_LOW"
0.08263933376041,"fraud_legit, kyc_kyc_2, velocity_1h_vel1h_LOW"
0.07792623775967786,"acct_age_acct_OLD, kyc_kyc_2, velocity_1h_vel1h_LOW"
0.07723986455568775,"amt_deviation_dev_MOD, kyc_kyc_2, velocity_1h_vel1h_LOW"
0.06008053445593484,"amt_amt_MED, kyc_kyc_2, velocity_1h_vel1h_LOW"
0.05243891278484488,"ip_risk_ip_MOD, kyc_kyc_2, velocity_1h_vel1h_LOW"
0.04470577468655624,"geo_dist_geo_MOD, kyc_kyc_2, velocity_1h_vel1h_LOW"
0.07833806168207193,"failed_txns_fail_NONE, kyc_kyc_2, velocity_1h_vel1h_LOW"
0.047176718220920656,"kyc_kyc_2, merch_risk_mrisk_MOD, velocity_1h_vel1h_LOW"
0.06268875263109729,"channel_ch_card, kyc_kyc_2, velocity_1h_vel1h_LOW"
0.0995698727921662,"intl_domestic, kyc_kyc_2, velocity_24h_vel24h_MOD"
0.090555504713096,"fraud_legit, kyc_kyc_2, velocity_24h_vel24h_MOD"
0.0754095360117141,"device_dev_mobile, kyc_kyc_2, velocity_24h_vel24h_MOD"
0.07046764894298527,"acct_age_acct_OLD, kyc_kyc_2, velocity_24h_vel24h_MOD"
0.06996430859339252,"amt_deviation_dev_MOD, kyc_kyc_2, velocity_24h_vel24h_MOD"
0.05564198773679876,"amt_amt_MED, kyc_kyc_2, velocity_24h_vel24h_MOD"
0.046856410725725266,"ip_risk_ip_MOD, kyc_kyc_2, velocity_24h_vel24h_MOD"
0.04072481010341356,"geo_dist_geo_MOD, kyc_kyc_2, velocity_24h_vel24h_MOD"
0.03811659192825112,"kyc_kyc_2, velocity_1h_vel1h_LOW, velocity_24h_vel24h_MOD"
0.07531801958451542,"failed_txns_fail_NONE, kyc_kyc_2, velocity_24h_vel24h_MOD"
0.05550471309600073,"channel_ch_card, kyc_kyc_2, velocity_24h_vel24h_MOD"
0.03646929623867484,"ip_risk_ip_LOW, kyc_kyc_2, velocity_24h_vel24h_MOD"
0.041823007229797746,"kyc_kyc_2, merch_risk_mrisk_MOD, velocity_24h_vel24h_MOD"
0.1010341356273451,"intl_domestic, ip_risk_ip_LOW, kyc_kyc_2"
0.07884140203166469,"fraud_legit, ip_risk_ip_LOW, kyc_kyc_2"
0.07312162533174704,"failed_txns_fail_NONE, ip_risk_ip_LOW, kyc_kyc_2"
0.07074219822458132,"acct_age_acct_OLD, ip_risk_ip_LOW, kyc_kyc_2"
0.06982703395259449,"amt_deviation_dev_MOD, ip_risk_ip_LOW, kyc_kyc_2"
0.056145328086391506,"channel_ch_card, ip_risk_ip_LOW, kyc_kyc_2"
0.0549098563192093,"amt_amt_MED, ip_risk_ip_LOW, kyc_kyc_2"
0.07678228241969433,"device_dev_mobile, ip_risk_ip_LOW, kyc_kyc_2"
